"행정구역","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"세종특별자치시 세종특별자치시 (3611000000)","371,895","153,649","          2.42","185,678","186,217","          1.00"
"세종특별자치시  조치원읍(3611025000)","43,262","20,972","          2.06","22,520","20,742","          1.09"
"세종특별자치시  연기면(3611031000)","2,812","1,695","          1.66","1,599","1,213","          1.32"
"세종특별자치시  연동면(3611032000)","3,112","1,749","          1.78","1,636","1,476","          1.11"
"세종특별자치시  부강면(3611033000)","6,152","3,382","          1.82","3,393","2,759","          1.23"
"세종특별자치시  금남면(3611034000)","8,975","4,946","          1.81","4,770","4,205","          1.13"
"세종특별자치시  장군면(3611035000)","6,994","4,252","          1.64","4,050","2,944","          1.38"
"세종특별자치시  연서면(3611036000)","7,380","3,971","          1.86","4,042","3,338","          1.21"
"세종특별자치시  전의면(3611037000)","5,523","3,033","          1.82","2,952","2,571","          1.15"
"세종특별자치시  전동면(3611038000)","3,368","1,980","          1.70","1,813","1,555","          1.17"
"세종특별자치시  소정면(3611039000)","2,270","1,165","          1.95","1,204","1,066","          1.13"
"세종특별자치시  한솔동(3611051000)","18,615","6,411","          2.90","9,151","9,464","          0.97"
"세종특별자치시  새롬동(3611051500)","38,186","15,296","          2.50","18,549","19,637","          0.94"
"세종특별자치시  도담동(3611052000)","33,331","14,229","          2.34","16,051","17,280","          0.93"
"세종특별자치시  해밀동(3611052500)","8,569","3,096","          2.77","4,192","4,377","          0.96"
"세종특별자치시  아름동(3611053000)","23,349","7,785","          3.00","11,578","11,771","          0.98"
"세종특별자치시  종촌동(3611054000)","29,139","10,861","          2.68","14,168","14,971","          0.95"
"세종특별자치시  고운동(3611055000)","34,171","11,896","          2.87","16,731","17,440","          0.96"
"세종특별자치시  소담동(3611055500)","20,406","7,361","          2.77","10,048","10,358","          0.97"
"세종특별자치시  반곡동(3611055600)","17,586","7,598","          2.31","8,662","8,924","          0.97"
"세종특별자치시  보람동(3611056000)","19,022","6,905","          2.75","9,302","9,720","          0.96"
"세종특별자치시  대평동(3611057000)","11,315","4,375","          2.59","5,642","5,673","          0.99"
"세종특별자치시  다정동(3611058000)","28,358","10,691","          2.65","13,625","14,733","          0.92"
